id;short;name;ctry;team;flat;mnt;tt;spr;dsc;Pv;cbt;reg;exp;Rec;end;Res;rol;Pot;typ;race;ht;wgt;hr;debut;year;mon;day;Home
414;A.Arekeev;AREKEEV Alexandr;50;0;76;66;67;34;48;59;60;24;86;66;37;63;1;3;6;2;180;70;40;2004;1982;4;10;Igevsk
428;A.Arias;ARIAS Amaury;146;0;65;60;30;41;39;43;60;18;74;59;21;38;1;1;4;4;180;70;40;2007;1988;9;5;Santo Domingo
2770;A.Arranz Alonso;ARRANZ ALONSO Ander;22;0;68;63;56;44;36;42;50;18;64;57;12;66;1;1;4;4;170;60;40;2013;1993;9;22;
6902;A.Arseno;MAYER ARSENO Alex David;10;0;73;61;67;33;51;75;75;24;84;65;17;30;1;4;2;4;192;80;40;2006;1983;5;28;
499;A.Asgharzadeh;ASGHARZADEH Ali Reza;119;0;68;68;33;33;36;48;68;45;78;69;19;69;1;2;3;4;178;61;40;2006;1986;1;11;
520;A.Atapuma Hurtado;ATAPUMA HURTADO Alexander Yesid;16;0;70;73;49;37;34;43;74;24;82;80;21;98;1;4;3;3;166;56;40;2007;1984;11;22;Túquerres - Nariño
535;A.Aulas;AULAS Alexandre;24;0;71;62;42;34;40;43;52;31;78;68;21;69;1;2;3;4;183;68;40;2006;1986;4;7;Roanne
572;A.Azevedo;AZEVEDO Afonso;47;0;70;64;45;34;38;60;52;60;82;70;26;69;1;3;1;4;184;66;40;2005;1984;7;18;Trofa
10811;A.Baker;BAKER Andy;61;0;74;62;68;61;44;60;52;21;72;68;20;69;1;2;7;3;183;70;40;2006;1989;9;30;Greenville - South Carolina
11404;A.Baldoni;BALDONI Alessandro;36;0;67;60;45;54;67;43;64;56;56;65;71;19;1;3;4;4;180;70;40;2017;1997;9;13;
659;A.Balloni;BALLONI Alfredo;36;0;72;64;66;43;44;69;52;26;72;73;22;77;1;3;7;3;186;72;40;2010;1989;9;20;Roma
681;A.Baranauskas;BARANAUSKAS Aivaras;37;0;73;60;60;36;41;73;56;59;90;67;31;50;1;3;2;4;189;85;40;2005;1980;4;6;-0
905;A.Barbari;BARBARI Adel;66;0;69;60;61;54;47;47;53;22;64;58;22;44;1;2;4;4;180;70;40;2012;1993;5;27;
3024;A.Baude;BAUDE Arthur;12;0;72;64;54;71;45;56;56;23;54;54;28;45;3;3;8;7;180;70;40;2017;1998;1;7;
2871;A.Bautista;BAUTISTA Adolfo;8;0;65;63;45;41;36;44;65;23;68;65;15;74;1;1;4;4;180;70;40;2013;1991;9;13;
852;A.Bazayev;BAZAYEV Assan;160;0;75;67;64;70;56;79;62;30;88;74;44;39;1;3;9;2;171;65;40;2005;1981;1;22;Almaty
853;A.Bazhenov;BAZHENOV Alexandre;50;0;65;60;45;34;41;61;54;55;88;65;21;50;1;3;5;4;182;65;40;2004;1981;4;26;Komsomolsk
855;A.Bazzana;BAZZANA Alessandro;36;0;74;68;58;71;72;69;58;20;82;68;33;50;1;3;5;4;177;66;40;2005;1984;7;16;-0
1896;A.Bechkov;BECHKOV Aleks;11;0;68;60;46;47;45;56;54;34;52;35;34;44;1;1;4;4;180;70;40;2018;1999;2;14;
2337;A.Bella;BELLA Angelo;36;0;65;61;52;39;32;37;53;13;62;62;17;47;1;1;4;4;180;70;40;2013;1994;12;25;
11557;A.Benavidas;BENAVIDAS;16;0;67;60;44;57;39;43;54;20;84;60;21;43;1;1;4;4;180;70;40;2017;1983;12;23;
2495;A.Benoit;BENOIT André;2;0;66;60;42;43;33;51;48;19;72;57;18;40;1;0;4;4;180;70;40;2011;1989;8;2;
6853;A.Benyoucef;BENYOUCEF Abdallah;16;0;69;60;38;47;43;40;40;46;76;41;41;11;2;5;4;4;180;70;40;2011;1987;4;10;
1028;A.Bergman;BERGMAN Adam;61;0;73;63;64;62;44;43;52;41;90;74;21;67;1;3;7;3;180;68;40;2006;1980;8;30;
1083;A.Bertuola;BERTUOLA Alessandro;36;0;74;72;53;34;40;48;52;21;90;77;17;85;1;6;1;3;172;61;40;2005;1979;9;13;Montebelluna
1084;A.Bespalov;BESPALOV Alexander;50;0;72;60;72;34;45;63;50;53;88;64;21;49;1;3;2;4;175;65;40;2004;1981;5;10;Naberegnie
2792;A.Billon;BILLON Alexandre;24;0;69;60;49;44;39;52;51;19;68;63;19;44;1;1;4;4;180;70;40;2013;1991;8;15;
1177;A.Blain;BLAIN Alexandre;24;0;74;61;56;72;56;75;52;31;88;69;17;21;3;2;8;4;187;79;40;2006;1981;3;7;Nice - Provence-Alpes-Côte d'Azur
1224;A.Bodiot;BODIOT Alexis;24;0;67;60;49;48;39;55;52;15;74;54;22;37;1;1;4;4;180;70;40;2007;1988;5;3;
1284;A.Bonilla;BONILLA Anderson;16;0;69;60;37;35;39;43;68;20;76;66;21;72;1;2;3;3;164;53;40;2005;1987;9;19;
2245;A.Borso;BORSO Andrea;36;0;65;60;43;40;33;47;43;33;62;50;16;22;1;2;4;4;180;70;40;2013;1994;12;29;
2970;A.Bottura;BOTTURA Alessio;36;0;66;60;49;51;34;46;46;17;60;55;18;55;1;1;4;4;180;70;40;2015;1995;9;29;
1414;A.Boyd;BOYD Alexander;61;0;73;60;47;53;39;43;52;18;76;65;14;50;1;3;5;4;170;64;40;2009;1987;5;21;Omaha - Nebraska
1422;A.Bradley;BRADLEY Andrew;5;0;70;60;54;44;45;54;52;40;86;65;21;48;1;1;2;3;181;70;40;2004;1982;7;14;-0
1437;A.Braico;BRAICO Alexandr;42;0;70;62;53;46;39;44;50;20;74;64;22;55;1;1;3;3;180;70;40;2007;1988;3;5;
1464;A.Braulio Acosta;BRAULIO ACOSTA LOOR Antonio;89;0;70;61;55;32;36;59;63;52;76;66;21;76;1;3;7;3;180;70;40;2006;1987;6;12;
1542;A.Brown;BROWN Arran;52;0;76;63;56;69;50;68;53;23;80;67;20;23;1;3;5;4;185;76;40;2006;1985;3;24;
1340;A.Brus;BRUS Alexander;5;0;67;60;55;35;32;43;43;20;62;60;9;71;1;1;4;4;180;66;40;2013;1994;8;11;
1186;A.Buggle;BUGGLE Aaron;31;0;71;60;57;59;41;52;50;28;70;60;20;34;1;1;4;4;180;73;40;2009;1990;10;16;
2240;A.Buttazzoni;BUTTAZZONI Alex;36;0;70;60;51;54;43;56;55;44;80;63;26;34;1;1;4;4;180;70;40;2006;1985;3;11;
1691;A.Cabrera;CABRERA Antonio;14;0;76;60;70;68;63;71;74;39;88;69;21;17;1;3;6;4;182;78;40;2006;1981;11;10;San Fernando
4017;A.Cacciotti ;CACCIOTTI Andrea;36;0;65;60;48;46;35;40;45;13;58;46;13;46;1;1;4;4;180;70;40;2015;1996;11;19;
1790;A.Camargo;CAMARGO FILHO Armando Reis;10;0;75;60;66;72;53;74;75;13;86;64;11;21;1;3;0C;4;173;68;40;2006;1982;8;8;
430;A.Camilli;CAMILLI Alessio;36;0;72;62;53;56;42;52;52;18;72;57;20;47;1;1;4;4;180;70;40;2013;1989;5;1;
1932;A.Cardenas Cano;CARDENAS CANO Andres;16;0;70;63;45;34;40;60;63;57;86;67;31;73;1;3;1;4;176;64;40;2005;1982;6;21;Tamesis - Antioquia
1933;A.Cárdenas Delgado;CÁRDENAS DELGADO Alex Oswaldo;89;0;69;60;45;59;43;43;60;28;76;57;21;49;1;1;8;3;180;70;40;2006;1987;3;27;Carchi
1937;A.Cárdenas Zamudio;CÁRDENAS ZAMUDIO Armando;16;0;75;60;56;67;39;45;68;48;86;65;18;40;3;2;8;4;186;79;40;2005;1982;1;1;Bogota DC
1941;A.Cardoso Martins;CARDOSO MARTINS André Fernando;47;0;73;76;66;55;40;61;63;44;82;84;47;83;1;4;1;3;168;57;39;2006;1984;9;3;Gondomar
2859;A.Casier;CASIER Arne;12;0;69;60;58;45;40;54;51;25;68;56;21;48;1;1;4;4;180;70;40;2014;1991;11;23;
10616;A.Castro;CASTRO Álvaro;14;0;71;60;43;50;41;43;62;16;76;63;14;35;1;2;4;4;179;69;40;2010;1987;9;25;Santiago de Chile
3058;A.Ceballos Unas;CEBALLOS UNAS Andrés Fernando;16;0;70;60;55;53;47;60;60;22;80;55;21;46;1;2;6;4;182;75;40;2006;1985;5;15;San Pedro - Valle
431;A.Cecchin;CECCHIN Alberto;36;0;72;60;53;68;43;49;47;22;72;48;21;25;3;1;8;6;180;70;40;2013;1989;8;8;
10853;A.Chacon;CHACON Luis Alejandro;16;0;69;70;54;36;40;43;70;22;66;76;20;87;1;3;1;3;180;70;40;2011;1992;8;15;Bogota DC
3146;A.Chesnokov;CHESNOKOV Alexandr;160;0;69;60;52;35;39;43;49;20;72;61;21;43;1;1;2;3;180;70;40;2008;1989;6;5;
3184;A.Chtchebeline;CHTCHEBELINE Alexei;50;0;74;69;63;35;42;43;51;52;88;77;26;81;1;4;7;3;177;65;40;2006;1981;7;13;
10609;A.Chuah;CHUAH Adrian Why Kit;169;0;70;60;49;43;41;43;52;19;72;64;18;62;1;2;5;4;180;70;40;2011;1989;3;21;
219;A.Ciacchini;CIACCHINI Andrea;36;0;70;60;52;56;37;55;39;14;70;61;15;27;1;1;4;7;180;70;40;2012;1990;6;26;
3197;A.Ciccone;CICCONE Angelo;36;0;75;60;67;66;53;53;53;27;90;63;19;10;1;4;6;4;186;78;40;2006;1980;7;7;
10738;A.Clokotovich;CLOKOTOVICH Andrei;160;0;72;60;44;46;39;43;51;16;66;63;17;50;1;2;4;4;180;70;40;2011;1992;1;1;
3261;A.Colin;COLIN Anthony;24;0;74;62;50;63;52;63;56;17;80;64;18;24;1;2;5;4;180;70;40;2007;1985;3;22;Lille
3274;A.Colmenares;COLMENARES Alexander;16;0;71;62;54;59;44;56;70;24;78;66;21;74;1;2;9;4;180;70;40;2006;1986;1;1;Duitama - Boyaca
3276;A.Colo;COLO Alessandro;36;0;73;67;57;36;36;43;54;30;78;71;31;68;1;3;5;4;180;70;40;2006;1986;5;16;
3299;A.Conitzer;CONITZER Ariel;8;0;68;60;34;40;43;62;81;43;90;54;21;68;1;1;4;4;180;70;40;2006;1977;7;30;
3306;A.Contoli;CONTOLI Alberto;36;0;73;70;56;59;42;55;56;20;76;76;22;75;1;3;1;3;168;58;40;2009;1987;12;21;Faenza
2249;A.Cornelio;CORNELIO Alberto;36;0;68;60;43;41;39;50;53;35;68;68;20;59;1;2;4;4;180;70;40;2010;1991;8;6;
3369;A.Cortes Llano;CORTES LLANO Alejandro Ivan;16;0;76;69;56;58;54;74;78;26;90;67;20;68;1;3;5;4;183;69;40;2000;1977;12;2;Villamaria - Caldas
4765;A.Costa Soria;COSTA SORIA Axel;22;0;65;60;49;50;38;48;51;19;62;43;13;47;1;1;4;4;180;70;40;2015;1994;10;10;
3401;A.Coutts ;COUTTS Alex;205;0;72;66;55;31;38;60;51;55;84;68;17;82;1;4;3;3;178;63;40;2003;1983;9;25;Edinburg - Scotland
3405;A.Coyot;COYOT Arnaud;24;0;75;60;58;63;47;79;56;23;90;68;50;24;1;3;8;4;195;76;38;2003;1980;10;6;Beauvais - Oise
10726;A.Cruz;CRUZ Adderlyn;146;0;70;70;45;51;40;43;71;22;68;72;19;77;1;3;1;3;180;70;40;2011;1991;11;14;
3471;A.Curtolo;CURTOLO Alberto;36;0;71;60;44;72;41;65;53;55;82;66;21;21;1;3;8;4;189;78;40;2006;1984;4;14;Treviso
3502;A.Dal'Annio;DAL'ANNIO Alexsandro;10;0;71;60;37;37;37;67;62;38;78;59;16;40;1;1;4;4;187;74;40;2006;1986;10;23;
3504;A.Dalibard;DALIBARD Antoine;24;0;74;60;50;52;45;70;54;16;84;64;21;31;1;3;5;4;180;70;40;2006;1983;3;10;
3543;A.Davis;DAVIS Allan;4;0;77;68;52;73;48;81;66;22;90;80;60;20;3;5;8;4;172;69;40;2003;1980;7;27;Ipswich
3553;A.De Baat;DE BAAT Arjen;27;0;71;63;53;57;38;48;53;36;78;66;26;68;1;3;3;3;178;66;40;2006;1986;10;2;Dordrecht - Zuid-Holland
3558;A.De Beer;DE BEER Adrian;52;0;69;60;24;35;43;43;51;21;90;62;11;46;1;1;3;4;180;70;40;2007;1980;2;21;
3689;A.De Sousa;DE SOUSA Andre Luiz Alves;10;0;66;60;34;33;39;48;48;32;78;58;16;37;1;0;4;4;180;70;40;2006;1986;4;30;
3040;A.Debuy;DEBUY Anthony;12;0;68;62;47;50;48;50;53;51;58;50;49;48;1;1;4;4;180;70;40;2017;1996;4;11;
3752;A.Della Giustina;DELLA GIUSTINA Alessandro;10;0;72;60;55;38;41;43;57;37;76;63;16;44;1;2;2;4;195;79;40;2006;1987;7;7;
11361;A.Dennis;DENNIS Ashley;205;0;68;60;65;48;71;46;54;63;58;59;67;76;1;3;2;4;180;70;40;2017;1996;2;4;
2453;A.Di Battista;DI BATTISTA Antonio;36;0;70;61;57;52;40;46;53;23;78;62;22;69;1;0;4;4;180;66;40;2008;1986;10;13;
11038;A.Di Corrado;DI CORRADO Andrea;36;0;74;65;45;56;50;63;57;16;74;69;25;42;1;2;5;4;180;70;40;2012;1988;8;13;
3807;A.Di Lorenzo;DI LORENZO Alberto;36;0;71;60;54;34;37;57;51;51;86;64;21;47;1;2;6;4;183;68;40;2006;1982;4;22;
3840;A.Dietziker;DIETZIKER Andreas ;54;0;76;70;68;66;74;65;57;19;86;75;10;70;1;5;0D;4;179;67;40;2003;1982;10;15;Frauenfeld
3856;A.Diniz;DINIZ CORREIA Alex;10;0;74;73;66;58;56;67;75;16;80;75;26;89;1;5;3;3;170;58;40;2006;1985;10;20;
3951;A.Dukic;DUKIC Aleksandar;51;0;71;60;52;63;39;43;49;20;76;64;21;63;1;2;7;4;180;70;40;2007;1987;8;1;
3970;A.Duran Aroca;DURAN AROCA Arkaitz;22;0;75;71;71;55;48;68;50;37;78;71;21;74;1;4;7;4;185;67;43;2005;1986;5;19;Vitoria - Pays Basque
3978;A.Duval;DUVAL Aurelien;24;0;73;63;44;62;74;65;58;30;74;68;29;30;1;2;5;4;177;65;40;2009;1988;6;29;
3980;A.Dyachenko;DYACHENKO Alexandr;160;0;77;75;74;56;56;62;58;13;84;78;35;86;1;5;7;3;175;63;40;2006;1983;10;17;
4011;A.Efimkin;EFIMKIN Alexander;50;0;74;72;60;54;8;55;64;28;88;84;37;87;1;4;3;2;182;69;40;2005;1981;12;2;Kuibishev
4015;A.Egger;EGGER Alexander;5;0;71;60;57;35;39;43;49;23;76;68;21;76;1;2;7;4;177;64;40;2006;1987;1;3;Innsbruck - Tirol
2483;A.Egner;EGNER Arne;2;0;65;60;55;52;35;48;44;18;62;55;17;34;1;0;4;4;181;70;40;2013;1994;3;14;
848;A.Erland;ERLAND Andreas;44;0;65;60;61;45;41;46;36;17;66;42;19;43;1;1;4;4;180;70;40;2012;1992;8;31;
4067;A.Erofeev;EROFEEV Alexander;50;0;73;63;64;33;38;43;52;31;80;74;12;70;1;3;7;3;180;70;40;2007;1985;5;22;
4069;A.Ershov;ERSHOV Artur;50;0;76;63;70;71;42;43;53;23;70;66;29;62;1;2;0C;4;180;70;40;2006;1990;3;7;
4084;A.Esin;ESIN Alexey;50;0;67;60;48;38;37;55;51;52;80;63;21;43;1;3;3;6;180;70;40;2006;1985;3;30;Orel
4101;A.Extebarria;ETXEBARRIA Aritz;22;0;72;60;63;34;59;61;53;49;74;64;16;50;1;2;6;4;180;70;40;2010;1988;11;3;
4594;A.F.Herrera;HERRERA Andres Felipe;16;0;67;62;45;42;35;46;62;18;62;58;17;62;1;1;4;4;180;70;40;2015;1994;7;7;
3055;A.F.Sivori;SIVORI Alan Fernan;3;0;69;60;54;58;45;57;55;18;62;56;10;49;1;1;4;4;180;70;40;2015;1994;4;1;
10657;A.Fenn;FENN Andrew;205;0;77;60;68;75;54;80;57;22;70;68;34;18;3;3;0C;4;186;79;40;2011;1990;7;1;Hertfordshire - England
4196;A.Fernandez de la Puebla Ramos;FERNANDEZ DE LA PUEBLA RAMOS Alberto;22;0;74;71;64;33;66;43;54;37;82;73;25;78;1;3;3;3;174;63;48;2006;1984;9;17;Madrid
4211;A.Fernández Mateos;FERNÁNDEZ MATEOS Asier;22;0;73;62;47;54;36;43;51;23;82;69;21;76;1;2;3;3;180;70;40;2006;1984;9;2;
4222;A.Fernández Sainz;FERNÁNDEZ SAINZ Alberto;22;0;70;65;46;33;38;43;53;39;88;76;21;72;1;2;1;4;178;65;40;2006;1981;11;15;Barros - Galicia
4018;A.Ferrarotti;FERRAROTTI Alessandor;36;0;67;60;51;50;38;43;48;17;64;51;15;51;1;1;4;4;180;70;40;2015;1993;8;31;
3888;A.Fiek;FIEK Arnols;2;0;68;60;52;51;36;47;42;18;64;43;15;50;1;1;4;4;180;70;40;2015;1993;10;13;
4266;A.Filippov;FILIPPOV Alexandre;50;0;75;60;69;36;39;48;51;27;82;65;22;67;1;2;6;4;180;70;40;2006;1984;9;5;
2285;A.Fiorenza;FIORENZA Alfonso;36;0;68;60;54;43;45;50;46;21;68;57;21;52;3;2;8;6;180;70;40;2010;1991;2;27;
3923;A.Fliessgarten;FLIESSGARTEN Andreas;2;0;68;60;49;49;38;50;50;27;90;52;15;44;1;1;4;4;180;70;40;2015;1980;7;22;
2421;A.Fløtten;FLØTTEN Audun Brekke;44;0;70;60;60;50;39;51;50;17;70;57;12;35;1;1;4;4;180;70;40;2010;1990;8;20;
1434;A.Foliforov;FOLIFOROV Alexander;50;0;72;77;65;56;46;42;57;28;66;67;28;52;1;1;4;4;180;70;40;2011;1992;3;8;
4313;A.Follador;FOLLADOR Andrés Hinestroza;16;0;70;63;56;34;36;60;65;54;80;66;21;71;1;3;7;4;180;70;40;1997;1985;1;16;?? - Antioquia
4385;A.Frisch;FRISCH Andreas;18;0;72;62;53;33;36;56;50;45;78;64;21;50;1;2;5;4;178;62;40;2006;1986;5;6;
4438;A.Gajek;GAJEK Artur;2;0;73;62;59;56;46;72;55;29;80;64;21;22;1;2;6;4;189;74;40;2004;1985;4;18;Bergisch Gladbach
11690;A.Garcia;GARCIA Artur Albeiro;72;0;74;68;41;70;40;37;54;29;82;59;56;67;3;3;8;5;180;70;40;2004;1984;1;26;
4528;A.Garcia;GARCIA RODRIGUEZ Alien;143;0;74;60;64;70;39;57;66;33;82;72;25;64;3;3;0C;4;179;71;40;2005;1984;4;11;
4526;A.Garcia Rincon;GARCIA RINCON Arthur;72;0;77;62;59;72;48;72;77;27;82;77;45;28;3;4;8;4;186;77;40;2005;1984;1;26;San Juan de Colón - Táchira
4571;A.Gavino;GAVINO Alfredo;83;0;72;69;50;36;38;43;63;21;84;69;16;95;1;4;3;3;177;65;40;2007;1983;11;24;
11407;A.Genga;GENGA Andrea;36;0;68;60;29;36;54;43;67;13;56;60;16;43;1;1;4;4;180;70;40;2017;1997;6;22;
814;A.Geromboux;GEROMBOUX Arnaud;12;0;65;60;44;43;41;60;50;22;68;62;30;56;1;1;4;4;180;70;40;2011;1991;4;8;
4616;A.Geslin;GESLIN Anthony;24;0;77;70;49;67;54;79;62;11;90;71;58;10;1;3;5;4;181;68;40;2002;1980;6;9;Alençon - Basse-Normandie
11493;A.Getulio;GETULIO RITA Anderson;10;0;68;60;39;47;46;33;56;18;90;61;21;61;1;1;3;4;180;70;40;2017;1976;1;7;
2382;A.Geuens;GEUENS Alexander;12;0;65;60;43;39;31;51;42;11;62;50;12;23;1;1;4;4;180;70;40;2013;1994;9;5;
6467;A.Giacoppo;GIACOPPO Anthony;4;0;76;63;73;72;34;32;47;43;78;45;45;11;3;3;8;4;180;70;40;2014;1986;5;13;
4708;A.Gil Sanchez;GIL SANCHEZ Alexander;16;0;68;61;43;41;40;47;63;24;66;66;22;69;1;1;4;4;180;70;40;2014;1992;9;25;
1269;A.Gingsjö;GINGSJÖ Alexander;53;0;73;60;62;60;47;54;51;19;90;66;26;44;3;1;8;6;180;70;40;2010;1980;12;23;
235;A.Gohr;GOHR Andre;10;0;66;60;53;45;38;40;47;13;58;37;12;31;1;1;4;4;180;70;40;2015;1996;8;15;
4702;A.Gómez;GÓMEZ Álvaro Yesid;16;0;73;76;59;59;52;43;70;26;82;76;29;95;5;4;9;3;165;53;40;2006;1984;6;16;Polocabildo - Tolima
5008;A.Gómez Montoya;GÓMEZ MONTOYA Andrés Felipe;16;0;68;60;33;34;37;60;52;58;76;62;21;72;1;1;1;3;180;70;40;2005;1987;1;1;?? - Antioquia
5080;A.Gottfried;GOTTFRIED Alexander;2;0;74;70;56;35;40;43;52;36;80;74;27;76;1;4;1;3;168;60;44;2005;1985;7;5;Pawlodarskoje (Kazachstan)
786;A.Grad;GRAD Alexander;2;0;70;60;60;46;49;43;42;15;70;33;12;14;1;1;4;4;180;70;40;2009;1990;2;3;
1215;A.Gremelpont;GREMELPONT Axel;12;0;71;60;51;52;47;56;56;29;70;61;23;40;1;2;4;4;180;68;40;2011;1990;6;25;
5121;A.Grendene;GRENDENE Andrea;36;0;74;60;47;75;42;64;53;27;76;69;20;12;3;2;8;4;175;70;40;2006;1987;7;4;Thiene
5157;A.Grizante;GRIZANTE Andre Luis;10;0;74;60;54;72;47;66;60;15;90;64;10;11;3;6;8;4;188;80;40;2002;1976;12;26;-0
4882;A.Grondahl Jensen;GRONDAHL JENSEN Amund;44;0;69;60;59;49;39;52;47;18;62;45;16;46;1;1;4;4;180;70;40;2013;1994;2;11;
5193;A.Guerrero;GUERRERO Andrés Freddy;16;0;70;60;52;47;37;43;62;21;84;57;21;50;1;2;4;4;199;85;40;2006;1983;10;30;Guaduas - Cundinamarca
5196;A.Guerrero Mata;GUERRERO MATA Abundio;83;0;74;60;63;45;45;61;71;24;80;66;21;65;1;3;2;4;177;72;40;2002;1985;8;1;San Luis Potosi
5204;A.Gufler;GUFLER Alexander;36;0;70;60;59;34;39;43;49;19;84;63;15;50;1;2;6;4;183;70;40;2006;1983;2;9;Meran
5220;A.Guptill;GUPTILL Andy;61;0;72;66;55;34;42;43;44;22;84;67;17;86;1;3;3;3;175;62;40;2006;1983;3;17;
5226;A.Gut;GUT Alexander;2;0;65;60;43;54;29;61;50;51;82;62;21;47;1;1;2;4;184;76;40;2005;1984;7;11;-0
10945;A.Hafiz;HAFIZ Ahmed;93;0;72;60;53;52;43;43;60;20;76;67;15;25;1;2;4;4;180;70;40;2007;1987;12;26;
5279;A.Haiszer;HAISZER Ákos;29;0;70;60;52;35;39;43;51;23;80;50;21;46;1;1;6;4;168;57;40;2006;1985;12;31;
6737;A.Hardahl;HARDAHL Anders;18;0;70;63;68;46;56;45;33;43;58;34;13;42;1;2;4;7;180;70;40;2015;1996;5;3;
5322;A.Hassink;HASSINK Arne;27;0;74;60;63;55;41;60;55;24;82;68;21;50;1;2;6;4;190;76;40;2003;1984;8;12;-0
4207;A.Hawdon;HAWDON Andrew;205;0;72;60;58;57;45;55;47;13;90;53;20;37;1;1;4;4;180;70;40;2015;1976;5;3;
5345;A.Hegyvary;HEGYVARY Adrian;29;0;77;60;70;72;75;70;54;20;82;65;15;15;3;3;0C;4;191;80;40;2010;1984;1;15;Chicago - Illinois (USA)
5365;A.Henig;HENIG Andreas;2;0;75;60;70;36;39;43;49;24;74;64;21;63;1;2;6;4;189;73;40;2006;1988;10;26;
5377;A.Hernandez;HERNANDEZ GIMENEZ Andris José;72;0;75;68;67;62;50;65;75;27;86;74;29;66;1;3;7;3;183;72;40;2006;1982;1;11;
5463;A.Hocevar;HOCEVAR Aljaz;21;0;72;60;52;66;41;43;51;16;68;60;21;30;1;2;8;4;176;70;40;2010;1991;8;20;
5486;A.Honkisz;HONKISZ Adrian;46;0;73;65;45;47;36;43;54;20;74;64;34;70;1;3;5;3;176;56;40;2006;1988;2;27;
5537;A.Hulth;HULTH Anton;53;0;72;60;58;33;37;70;49;44;86;55;21;38;1;1;6;4;201;90;40;2006;1982;1;1;
5538;A.Humbert;HUMBERT Ashley;4;0;73;63;43;46;42;62;55;35;86;76;21;50;1;3;3;4;180;70;40;2005;1982;2;19;-0
5564;A.Ibanez;IBANEZ Alberto;22;0;67;60;48;42;39;38;51;38;78;50;23;38;1;2;6;4;180;70;40;2006;1986;3;27;
3444;A.Jaramillo Gallego;JARAMILLO GALLEGO Adrian;89;0;65;60;48;39;33;31;49;12;58;49;10;64;1;1;4;4;180;70;40;2015;1996;3;1;
5706;A.Jimenez;JIMENEZ Angel;16;0;68;63;46;34;34;54;61;29;82;65;21;73;1;2;1;3;172;58;40;2005;1984;8;12;?? - Boyaca
2649;A.Jouffroy;JOUFFROY Arnaud;24;0;68;60;44;41;33;49;47;16;70;55;13;28;1;0;4;4;180;70;40;2009;1990;2;21;
5813;A.Kamyshev;KAMYSHEV Arman;160;0;73;66;61;67;40;43;55;23;68;66;26;66;1;4;9;3;180;70;40;2006;1991;3;14;
5836;A.Karu;KARU Allar;90;0;65;60;23;33;39;43;47;16;76;55;21;32;1;0;4;4;180;70;40;2007;1987;4;10;
